ont,model,SpearmanR_freq_vs_fmax,p_value,num_terms
EC,FreqPrior,0.5552855454919355,3.0032403918036774e-17,196
EC,ESM2-kNN,0.014938694908373755,0.8353729647735064,196
EC,MLP-BCE,-0.027596516497373914,0.7010131801399454,196
EC,DGPRO-PU,0.018060017644088426,0.801625864587731,196
EC,tailgr_topk128_topm10,-0.10863143632853373,0.12962027174164092,196
MF,FreqPrior,0.5353803315077438,2.8805179599194734e-93,1245
MF,InterPro2GO,0.4116625535501186,4.15908630050408e-52,1245
MF,ESM2-kNN,0.4358762574646393,6.937130544115551e-59,1245
MF,MLP-BCE,0.29530580257712774,1.7889204933075085e-26,1245
MF,DGPRO-PU,0.3136423482991274,8.029858086091116e-30,1245
MF,tailgr_topk128_topm10,0.25496339255582884,6.321897414496685e-20,1245
BP,FreqPrior,0.6221645512067965,0.0,8142
BP,InterPro2GO,0.5654500638952078,0.0,8142
BP,ESM2-kNN,0.5282029960215914,0.0,8142
BP,MLP-BCE,0.3789867570154686,1.9850344332660368e-276,8142
BP,DGPRO-PU,0.545443098227348,0.0,8142
BP,tailgr_topk128_topm10,0.3447915597201373,4.999279700718069e-226,8142
CC,FreqPrior,0.6884730394886924,1.3532661446438456e-157,1116
CC,InterPro2GO,0.4898666268495871,2.041910265111843e-68,1116
CC,ESM2-kNN,0.42691325726039697,1.187192783884181e-50,1116
CC,MLP-BCE,0.28917070539649936,6.155611303901659e-23,1116
CC,DGPRO-PU,0.6601426184017188,1.2927447747335073e-140,1116
CC,tailgr_topk128_topm10,0.22533247187242328,2.5898807533650555e-14,1116
