ont,model,bucket,metric,value
MF,FreqPrior,head,Macro-Fmax,0.059811
MF,FreqPrior,head,Term-AUPR,0.019613
MF,FreqPrior,head,Recall@20,0.004496
MF,FreqPrior,mid,Macro-Fmax,0.011111
MF,FreqPrior,mid,Term-AUPR,0.001759
MF,FreqPrior,mid,Recall@20,0.002033
MF,FreqPrior,tail,Macro-Fmax,0.007224
MF,FreqPrior,tail,Term-AUPR,0.000902
MF,FreqPrior,tail,Recall@20,0.003367
MF,InterPro2GO,head,Macro-Fmax,0.133285
MF,InterPro2GO,head,Term-AUPR,0.071274
MF,InterPro2GO,head,Recall@20,0.064267
MF,InterPro2GO,mid,Macro-Fmax,0.094773
MF,InterPro2GO,mid,Term-AUPR,0.065244
MF,InterPro2GO,mid,Recall@20,0.080077
MF,InterPro2GO,tail,Macro-Fmax,0.15346
MF,InterPro2GO,tail,Term-AUPR,0.126761
MF,InterPro2GO,tail,Recall@20,0.17554
MF,ESM2-kNN,head,Macro-Fmax,0.244449
MF,ESM2-kNN,head,Term-AUPR,0.144033
MF,ESM2-kNN,head,Recall@20,0.142258
MF,ESM2-kNN,mid,Macro-Fmax,0.130995
MF,ESM2-kNN,mid,Term-AUPR,0.068017
MF,ESM2-kNN,mid,Recall@20,0.13821
MF,ESM2-kNN,tail,Macro-Fmax,0.112389
MF,ESM2-kNN,tail,Term-AUPR,0.080711
MF,ESM2-kNN,tail,Recall@20,0.12011
MF,MLP-BCE,head,Macro-Fmax,0.21121
MF,MLP-BCE,head,Term-AUPR,0.140444
MF,MLP-BCE,head,Recall@20,0.122862
MF,MLP-BCE,mid,Macro-Fmax,0.129616
MF,MLP-BCE,mid,Term-AUPR,0.085053
MF,MLP-BCE,mid,Recall@20,0.16115
MF,MLP-BCE,tail,Macro-Fmax,0.174573
MF,MLP-BCE,tail,Term-AUPR,0.133647
MF,MLP-BCE,tail,Recall@20,0.241556
MF,DGPRO-PU,head,Macro-Fmax,0.348737
MF,DGPRO-PU,head,Term-AUPR,0.275172
MF,DGPRO-PU,head,Recall@20,0.232345
MF,DGPRO-PU,mid,Macro-Fmax,0.211659
MF,DGPRO-PU,mid,Term-AUPR,0.149486
MF,DGPRO-PU,mid,Recall@20,0.284714
MF,DGPRO-PU,tail,Macro-Fmax,0.225683
MF,DGPRO-PU,tail,Term-AUPR,0.183289
MF,DGPRO-PU,tail,Recall@20,0.350385
BP,FreqPrior,head,Macro-Fmax,0.040304
BP,FreqPrior,head,Term-AUPR,0.014167
BP,FreqPrior,head,Recall@20,0.002193
BP,FreqPrior,mid,Macro-Fmax,0.008094
BP,FreqPrior,mid,Term-AUPR,0.000799
BP,FreqPrior,mid,Recall@20,0.002121
BP,FreqPrior,tail,Macro-Fmax,0.004713
BP,FreqPrior,tail,Term-AUPR,0.000469
BP,FreqPrior,tail,Recall@20,0.00262
BP,InterPro2GO,head,Macro-Fmax,0.050652
BP,InterPro2GO,head,Term-AUPR,0.020955
BP,InterPro2GO,head,Recall@20,0.016488
BP,InterPro2GO,mid,Macro-Fmax,0.026499
